This file was created by CMPT_BEME_RETS using the 201603 CRSP database.,,,
It contains value- and equal-weighted returns for portfolios formed on BE/ME.,,,
,,,
,,,
The portfolios are constructede at the end of June.,,,
,,,
,,,
  Value Weighted Returns -- Monthly,,,
,Lo 30,Med 40,Hi 30
192607,5.56,1.92,1.06
192608,2.64,2.64,6.09
192609,1.29,0.06,-0.71
192610,-3.59,-2.42,-3.59
192611,3.13,2.92,3.13
192612,2.96,2.58,2.61
192701,-0.29,0.02,4.33
192702,4.97,3.66,8.14
192703,1.21,0.16,-2.64
192704,2.92,-0.7,0.41
192705,5.41,5.04,8.92
192706,-0.98,-2.86,-2.22
192707,9.12,6.66,6.72
192708,3.88,1.04,-1.51
192709,5.32,4.28,5.05
192710,-3.56,-4.18,-6.5
192711,7.14,6.83,7.2
192712,2.57,1.89,3.31
192801,-0.39,-0.2,-1.36
192802,-0.78,-1.17,-2.97
192803,12.17,6.27,8.1
192804,2.94,6.26,5.43
192805,2.72,0,0.98
192806,-3.73,-4.37,-5.67
192807,1.32,0.09,0.51
192808,8.67,5.37,6.24
192809,3.47,2.02,4.85
192810,1.49,1.5,1.93
192811,11.1,13.19,12.96
192812,0.93,-0.03,0.89
192901,6.37,4.72,2.39
192902,-0.55,0.84,2.59
192903,-1.49,1.99,-0.86
192904,2.17,1.18,2.4
192905,-5.82,-4.36,-7.41
192906,12.35,9.35,7.31
192907,3.48,5.9,4.79
192908,7.09,12.01,5.88
192909,-4.42,-4.94,-5.95
192910,-24.15,-14.28,-11.7
192911,-14.29,-10.89,-8.26
192912,3.3,0.44,0.93
193001,7.16,3.51,3.58
193002,3.43,1.86,1.62
193003,6.85,8.43,6.05
193004,-2.42,-1.79,-6.23
193005,0.64,-2.27,-1.58
193006,-17.84,-13.28,-12.81
193007,4.43,4.2,4.68
193008,1.14,-0.83,-1.81
193009,-12.05,-11.86,-17.52
193010,-9.44,-7.34,-11.33
193011,-2.33,-2.83,-5.78
193012,-5.86,-9.25,-11.34
193101,4.77,7.16,13.96
193102,12.87,6.94,13.16
193103,-4.2,-10.04,-8.48
193104,-8.88,-11.24,-12.81
193105,-11.38,-15.61,-19.07
193106,12.82,15.78,24.21
193107,-5.19,-10.11,-10.11
193108,0.88,-1.57,-1.25
193109,-28.85,-28.25,-34.68
193110,9.51,3.55,9.6
193111,-6.14,-16.15,-12.87
193112,-11.58,-18.69,-21.27
193201,-3.4,2.03,7.94
193202,7.06,1.75,0.71
193203,-10.2,-14.96,-13.31
193204,-18.13,-19.96,-17.63
193205,-19.21,-25.88,-22.56
193206,-1.7,0.46,5.85
193207,28.21,47.93,66.79
193208,31.41,51.19,67.04
193209,-1.05,-6.41,-6.77
193210,-10.78,-17.63,-23.37
193211,-2.71,-8.89,-15.68
193212,6.79,0.77,-5.25
