,Mkt-RF,SMB,HML,RF
192607,2.96,-2.3,-2.87,0.22
192608,2.64,-1.4,4.19,0.25
192609,0.36,-1.32,0.01,0.23
192610,-3.24,0.04,0.51,0.32
192610,2.53,-0.2,-0.35,0.31
192610,2.62,-0.04,-0.02,0.28
192610,-0.06,-0.56,4.83,0.25
192610,4.18,-0.1,3.17,0.26
192610,0.13,-1.6,-2.67,0.3
192610,0.46,0.43,0.6,0.25
192610,5.44,1.41,4.93,0.3
192610,-2.34,0.47,-1.53,0.26
192610,7.26,-3.23,-1.16,0.3
192610,1.97,-0.72,-3.69,0.28
192610,4.76,-3.57,-0.71,0.21
192610,-4.31,2.13,-4.33,0.25
192610,6.58,2.76,-0.31,0.21
192610,2.09,0.93,-1.06,0.22
192610,-0.68,4.25,-0.72,0.25
192610,-1.7,-2.03,-0.69,0.33
192610,8.81,-0.26,-1.2,0.29
192610,4.23,3.82,3.67,0.22
192610,1.52,2.98,-3.46,0.32
192610,-4.85,-3.5,-0.06,0.31
192610,0.62,-1.35,-0.47,0.32
192610,6.68,-2.07,-2.11,0.32
192610,2.88,2.18,0.76,0.27
192610,1.33,2.27,-2.26,0.41
192610,11.81,-1.81,2.8,0.38
192610,0.36,-0.85,-0.6,0.06
192610,4.66,-3.55,-1.21,0.34
192610,-0.34,-0.39,1.68,0.36
192610,-0.89,-4.78,1.56,0.34
192610,1.43,-0.99,0.61,0.36
192610,-6.39,-5.46,-1.57,0.44
192610,9.7,-2.17,-2.76,0.52
192610,4.46,-3.87,2.67,0.33
192610,8.18,-9.51,0.07,0.4
192610,-5.47,1.17,-0.63,0.35
192610,-20.12,-4.08,7.85,0.46
192610,-12.74,-1.91,5.33,0.37
192610,1.33,-4.2,-0.59,0.37
192610,5.61,3.58,-1.01,0.14
192610,2.5,0.12,0.39,0.3
192610,7.1,3.44,0.15,0.35
192610,-2.06,-0.17,-0.84,0.21
192610,-1.66,-2.04,-0.63,0.26
192610,-16.27,-3.22,2,0.27
192610,4.12,-0.37,-1.56,0.2
192610,0.3,-2.22,-0.78,0.09
192610,-12.75,-2.22,-5.27,0.22
192610,-8.78,-0.1,-1.35,0.09
192610,-3.04,2.21,-3.53,0.13
192610,-7.83,-4.68,-5.39,0.14
192610,6.24,3.81,7.21,0.15
192610,10.88,3.39,1.6,0.04
192610,-6.43,3.07,-3.65,0.13
192610,-9.98,-4.61,-3.92,0.08
192610,-13.24,5.16,-6.57,0.09
192610,13.9,-5.38,11.3,0.08
192610,-6.62,1.43,-2.1,0.06
192610,0.41,-1.97,-1.49,0.03
192610,-29.13,0.56,-6.75,0.03
192610,8.04,-1.87,1.7,0.1
192610,-9.08,4.3,-5.05,0.17
192610,-13.53,-0.56,-8.86,0.12
192610,-1.58,3.94,9.04,0.23
192610,5.46,-2.77,-1.45,0.23
192610,-11.21,2.27,-2.32,0.16
192610,-17.96,1.44,1.42,0.11
192610,-20.51,3.72,-3.28,0.06
192610,-0.7,0.35,5.32,0.02
192610,33.84,-4.44,35.46,0.03
192610,37.06,14.29,33.03,0.03
192610,-2.94,-2.43,-6.82,0.03
192610,-13.17,-2.76,-10.04,0.02
192610,-5.88,2.08,-13.28,0.02
192610,4.4,-8.27,-8.16,0.01
192610,1.25,0.63,6.14,0.01
192610,-15.24,-2.75,-2.73,-0.03
192610,3.29,3.9,7.38,0.04
192610,38.85,4.56,17.43,0.1
192610,21.43,36.7,19.03,0.04
192610,13.11,8.67,-1.88,0.02
192610,-9.63,-1.01,3.27,0.02
192610,12.05,-5.45,2.96,0.03
192610,-10.65,-0.32,-11.77,0.02
192610,-8.36,-0.08,-8.46,0.01
192610,9.97,-6.48,2.33,0.02
192610,1.83,0.66,-1.53,0.02
192610,12.6,12.53,15.54,0.05
192610,-2.5,5.19,2.12,0.02
192610,0.09,2.51,-2.73,0.02
192610,-1.79,2.8,-3.75,0.01
192610,-7.25,-0.26,-5.91,0.01
192610,2.64,-2.14,-2.92,0.01
192610,-10.96,-6.94,-10.66,0.01
192610,5.58,5.42,0.5,0.01
192610,-0.23,-1.52,-1.24,0.01
192610,-1.66,1.24,-5.11,0.01
192610,8.33,6.49,-2.24,0.01
192610,0.36,3.08,-3.17,0.01
192610,-3.45,1.07,-1.89,0.01
192610,-1.94,0.42,-7.24,0.02
192610,-3.68,-3.54,-5.06,0.01
192610,9.06,-1.56,4.27,0.01
192610,3.47,-3.28,2.52,0.01
192610,5.93,-5.03,2.13,0.01
192610,7.51,1.47,6.86,0.01
192610,2.65,6.28,5.7,0.01
192610,2.63,1.57,-4.05,0.01
192610,7.03,2.65,-2.33,0.01
192610,4.88,4.3,11.91,0.02
192610,4.56,0.22,1.07,0.01
192610,6.89,5.1,10.51,0.01
192610,2.49,1.14,5.04,0.01
192610,0.99,0.66,-1.66,0.02
192610,-8.14,-6.03,-2.08,0.02
192610,5.19,0.81,2.63,0.02
192610,2.4,-3.25,-1.2,0.03
192610,6.67,1.14,2.56,0.01
192610,0.99,0.72,3.99,0.02
192610,0.98,3.07,0.88,0.01
192610,7.12,-2.39,2.52,0.02
192610,3.27,9.01,-0.92,0.01
192610,0.21,3.61,3.96,0
192610,3.35,4.31,2.61,0.01
192610,1.09,1.23,5.05,0.02
192610,-0.27,-1.78,6.39,0.01
192610,-7.36,-3.77,-3.61,0.03
192610,-0.83,-0.66,-3.49,0.06
192610,-4.21,-3.65,-3.21,0.03
192610,8.91,0.85,0.82,0.03
192610,-4.86,0.42,-2.25,0.02
192610,-13.61,-6.89,-4.57,0.04
192610,-9.61,0.45,-1.62,0.02
192610,-8.31,-3.65,0.2,0.02
192610,-4.24,-7.76,-0.39,0
192610,0.49,4.97,-1.6,0
192610,5.84,0.35,-2.02,0
192610,-23.82,-4.24,-3.52,-0.01
192610,14.51,6.37,0.18,0.01
192610,-3.83,-2.47,-0.28,0
192610,23.87,4.05,0.3,0
192610,7.34,6.66,2.18,-0.01
192610,-2.67,-2.44,-4.72,0
192610,0.81,-2.72,-1.62,0.02
192610,7.8,5.83,5.01,0.01
192610,-1.72,-2.56,-1.23,-0.06
192610,4.19,-1.8,0.5,0
192610,-5.96,-1.56,-3.92,-0.01
192610,3.51,0.63,2.95,0.01
192610,-11.99,-4.76,-8.29,-0.01
192610,-0.18,1.66,-0.3,0
192610,6.8,2.81,0.47,0.01
192610,-5.31,-1.02,-5.41,0.01
192610,10.24,4.32,-0.03,0
192610,-6.68,-4.61,-2.42,-0.01
192610,16.88,20.23,22.22,0.01
192610,-0.53,-0.01,-4.89,0
192610,-3.62,-5.07,-6.46,0
192610,3.03,0.79,-4.06,0
192610,-2.41,0.24,-0.77,0
192610,1.44,2.51,-0.32,0
192610,2.05,1.25,-1.27,0
192610,0.22,3.92,-0.13,0
192610,-21.95,-6.66,-3.69,-0.02
192610,6.67,-2.13,4.63,0
192610,3.16,1.01,-0.74,0.01
192610,2.19,-0.11,0.56,-0.01
192610,2.39,3.22,-1.13,0
192610,3.02,0.28,4.64,0
192610,-1.61,1.94,0.12,0
192610,0.69,-2.15,-0.89,0
192610,-4.17,1,3.83,-0.01
192610,-1.43,-1.57,0.89,-0.01
192610,0.84,0.1,3.04,0.01
192610,-5.46,-1.69,3.41,-0.01
192610,1.39,-0.66,0.6,0
192610,5.83,1.32,0.59,0
192610,5.87,5.7,7.25,0.03
192610,-0.17,-0.41,-1.1,0.01
192610,-0.87,-0.99,-0.28,0.01
192610,-5.25,-2.02,1.63,0
192610,-1.92,-1.21,-0.64,0
192610,-4.87,-2.98,-5.94,0.01
192610,0.79,7.52,10.1,0.02
192610,-2.46,1.72,-1.13,0.01
192610,-6.58,1.78,-0.62,0.01
192610,-4.37,-0.6,2.09,0.01
192610,5.94,-3.05,-2.65,0.03
192610,2.69,-1.22,0.54,0.02
192610,3.51,-0.16,2.4,0.03
192610,1.8,-0.09,1.33,0.03
192610,2.61,0.66,2.39,0.03
192610,6.82,1.82,6.47,0.03
192610,0.15,-1.54,-4.24,0.03
192610,5.12,-2.49,0.56,0.03
192610,7.13,8.78,8.23,0.03
192610,6.15,4.84,6.51,0.03
192610,6.01,5.03,5.48,0.03
192610,0.81,2.06,5.86,0.03
192610,5.74,4.41,3.28,0.03
192610,1.82,-1.06,-0.74,0.03
192610,-4.77,-2.41,-2.27,0.03
192610,1.3,-0.62,-0.47,0.03
192610,2.4,1.28,1.43,0.03
192610,-1.15,0.58,1.65,0.03
192610,-5.91,-1.64,-4.04,0.03
192610,6.36,3.34,3.22,0.03
192610,1.74,2.56,2.17,0.03
192610,0.37,-0.1,0.83,0.03
192610,2.46,1.71,3.43,0.02
192610,-1.69,-1.35,-1.13,0.03
192610,5.07,1.67,1.02,0.03
192610,5.49,4.04,1.82,0.03
192610,-1.49,0.55,-0.43,0.03
192610,1.57,2.41,-1.63,0.03
192610,0.01,0.47,-1.21,0.02
192610,0.16,-0.14,-0.34,0.03
192610,1.71,0.37,2.31,0.03
192610,4.03,2.24,5.91,0.02
192610,2.01,2.44,0.71,0.03
192610,6.23,1.56,4.4,0.02
192610,-3.89,-1.61,-1.78,0.02
192610,7.8,0.32,3.21,0.03
192610,1.73,1.51,0.35,0.03
192610,0.39,3.1,4.32,0.02
192610,-2.17,-1.46,-2.71,0.03
192610,6.2,1.61,-4.4,0.03
192610,4.77,1.71,0.48,0.03
192610,3.89,2.46,2.25,0.03
192610,5.39,4.16,4.34,0.02
192610,1.2,2.12,-2.32,0.03
192610,6.24,4.02,2.21,0.03
192610,-5.83,-0.73,-1.27,0.03
192610,5.87,0.31,-0.36,0.03
192610,4.23,2.37,0.45,0.03
192610,3.93,1.46,1.09,0.03
192610,-3.89,-1.53,-0.59,0.03
192610,-2.69,-2.06,0.04,0.03
192610,-6.44,-1.78,0.6,0.03
192610,-10.17,-4.41,-1.96,0.03
192610,-1.44,0.09,3.44,0.03
192610,-0.01,-0.4,1.52,0.03
192610,4.96,0.06,-1.38,0.03
192610,1.25,2.18,-0.73,0.03
192610,-1.08,0.68,0.14,0.03
192610,-1.67,-1.61,0.61,0.03
192610,-4.8,-3.97,0.85,0.03
192610,-0.97,-3.26,0.34,0.03
192610,5.29,-0.31,-0.6,0.03
192610,4.14,1.43,2.82,0.03
192610,-1.74,0.3,0.16,0.03
192610,-0.54,1.64,1.36,0.06
192610,2.47,0.51,0.08,0.06
192610,-1.97,-1.74,1.06,0.06
192610,3,-2.48,3.69,0.08
192610,-3.93,2.49,1.38,0.07
192610,-4.38,-1.71,0.07,0.07
192610,8.07,0.13,4.49,0.09
192610,3.65,-1.66,4.1,0.08
192610,7.3,0.93,-1.23,0.08
192610,-0.1,-1.86,2.75,0.09
192610,-5.09,-0.32,0.07,0.08
192610,0.25,-1.1,0.27,0.09
192610,-2.97,-1.23,-1.79,0.04
192610,5.96,-1.5,0.56,0.04
192610,-9.3,-0.62,-4.14,0.04
192610,3.26,-2.8,-1.94,0.04
192610,0.23,1.81,1.17,0.1
192610,-2.93,-1.89,-0.91,0.09
192610,4.04,2.48,1.34,0.1
192610,-1.87,-0.89,-1.18,0.09
192610,-2.94,-0.77,-2.42,0.1
192610,0.1,-0.88,-1.76,0.1
192610,5.54,0.57,0.38,0.09
192610,2.6,0.13,-0.57,0.09
192610,3.09,1.05,0.23,0.09
192610,3.14,1.03,-0.49,0.09
192610,1.82,-0.93,-0.91,0.08
192610,5.13,2.07,1.75,0.09
192610,1.7,3.36,0.14,0.09
192610,1.48,0.04,-0.81,0.09
192610,1.26,-1.41,-2.77,0.1
192610,3.94,1.99,1.34,0.09
192610,4.31,-2.12,0.46,0.1
192610,-5.94,-2.38,-0.78,0.1
192610,1.36,0.51,13.66,0.1
192610,4.85,0.73,-1.41,0.1
192610,4.81,0.57,-1.11,0.1
192610,-0.18,-0.58,1.44,0.12
192610,2.76,-0.84,3.17,0.11
192610,5.54,1.49,7.23,0.11
192610,5.7,1.73,3.72,0.13
192610,1.41,0.09,-2.83,0.1
192610,-2.15,-0.64,-4.22,0.11
192610,4.86,-1.49,3.28,0.13
192610,-2.34,-0.01,-1.33,0.12
192610,-2.62,-1.95,-3.96,0.12
192610,6.94,-1.92,1.91,0.13
192610,4.27,0.84,0.25,0.13
192610,0.7,1.88,0.64,0.12
192610,-2.53,-0.28,0.24,0.16
192610,0.57,-0.44,0.26,0.11
192610,3.33,-2.06,-1.93,0.12
192610,1.45,-0.76,1.82,0.15
192610,-2.62,0.67,-0.22,0.12
192610,4.44,-3.02,2.21,0.11
192610,-4.97,0.38,0.25,0.12
192610,3.2,-1.06,0.2,0.13
192610,3.83,-1.6,1.18,0.15
192610,0.91,-0.35,-0.4,0.15
192610,-0.76,1.21,-0.12,0.15
192610,-2.03,1.19,-1.59,0.16
192610,-0.66,-1.1,-0.46,0.14
192610,5.94,-0.69,0.88,0.1
192610,2.93,-1.42,0,0.16
192610,-0.34,3.54,1.28,0.16
192610,-0.27,2.16,-0.13,0.14
192610,-1.43,-0.14,-1.03,0.18
192610,-2.83,0.27,1.45,0.16
192610,0.52,-0.03,0.13,0.17
192610,-1.89,-1.85,-0.47,0.18
192610,2.4,-1.01,-0.37,0.15
192610,-4.52,0.44,-3.62,0.17
192610,0.2,-0.81,-2.55,0.16
192610,4.6,-1.4,-0.03,0.13
192610,2.83,-1.23,-0.4,0.08
192610,0.03,-0.72,-2.96,0.13
192610,5.13,0.42,3.53,0.11
192610,1.67,-0.21,-0.23,0.07
192610,3.65,-0.51,-1.55,0.08
192610,4.27,-3.46,-0.5,0.09
192610,3.09,0.36,2.53,0.05
192610,1.07,0.4,-0.05,0.06
192610,4.99,1.05,4.13,0.05
192610,-2.34,2.68,-1.44,0.05
192610,6.39,-2.56,0.68,0.09
192610,-1.67,0.57,0.71,0.07
192610,9.38,-2.65,4.18,0.06
192610,5.48,2.15,5.74,0.08
192610,0.6,0.24,2.22,0.08
192610,3.02,1.54,0.61,0.09
192610,-0.16,-0.69,2.01,0.1
192610,3.11,-1.78,0.74,0.1
192610,0.93,-0.28,-0.87,0.14
192610,6.55,-4.65,1.86,0.1
192610,1.9,-1.36,0.63,0.1
192610,0.21,-0.38,0.59,0.16
192610,-0.36,0.3,-1.06,0.16
192610,-2.68,1.5,-0.03,0.18
192610,7.03,-2.46,0.51,0.17
