This file was created by CMPT_ME_RETS using the 201603 CRSP database.  It contains,,,
value- and equal-weighted returns for size portfolios.  Each record contains returns for:,,,
,,,
The portfolios are constructed at the end of June.,,,
,,,
,,,
,,,
  Value Weighted Returns -- Monthly,,,
,Small 30,Med 40,Big 30
192607,0.14,1.59,3.42
192608,3.21,2.77,2.91
192609,-1.74,-0.88,0.8
192610,-2.94,-3.28,-2.79
192611,-0.38,3.73,2.74
192612,4.15,1.51,3.04
192701,1.21,1.59,-0.03
192702,6.41,6.95,4.2
192703,-1.96,-1.51,0.92
192704,3.8,0.3,0.84
192705,9.41,7.18,5.64
192706,-2.34,-1.19,-2.19
192707,4.8,5.29,7.89
192708,-0.36,0.24,2.6
192709,0.92,4.29,5.16
192710,-4.46,-2.5,-4.13
192711,12.82,7.75,6.64
192712,2.15,3.12,2.32
192801,5.14,1.89,-0.87
192802,-2.58,-2.67,-1.11
192803,7.41,6.89,9.43
192804,11.25,6.81,3.83
192805,6.69,1.77,1.44
192806,-8.95,-6.4,-3.95
192807,-0.56,0.93,0.98
192808,3,6.96,7.02
192809,4.74,5.51,2.89
192810,2.37,1.7,1.64
192811,11.91,12.31,12.15
192812,-2.05,1.39,0.37
192901,1.82,2.98,5.52
192902,0.6,1.85,-0.2
192903,-3.52,-4.51,0.34
192904,-0.53,2.47,1.71
192905,-14.49,-8.73,-4.89
192906,6.69,10.06,10.38
192907,-0.1,2.3,5.14
192908,-0.55,2.52,9.43
192909,-5.52,-3.67,-5.08
192910,-22,-21.16,-19.04
192911,-13.8,-12.56,-12.04
192912,-6.37,-0.33,2.18
193001,13.06,7.83,4.89
193002,2.64,1.84,2.92
193003,12.07,8.84,7.4
193004,-3.7,-4.9,-1.85
193005,-5.49,-3.07,-0.94
193006,-19.47,-16.78,-15.29
193007,2.68,4.43,4.32
193008,-3.31,-1.51,0.61
193009,-19.43,-15.3,-12.07
193010,-10.79,-9.67,-8.77
193011,-3.33,-2.02,-2.79
193012,-17.03,-10.82,-7.05
193101,17.23,9.03,5.97
193102,18.58,13.13,10.63
193103,-5.46,-6.26,-6.21
193104,-16.92,-14.3,-9.31
193105,-11.96,-13.17,-13.19
193106,16.24,13.61,14.09
193107,-6.07,-7.4,-6.5
193108,-4.34,-1.3,0.35
193109,-31.67,-29.73,-28.84
193110,5.61,8.79,7.9
193111,-8.91,-8.31,-9.04
193112,-20.88,-13.55,-13.27
193201,6.79,1.03,-1.63
193202,3.53,1.18,6.04
193203,-12.54,-9.62,-11.04
193204,-19.05,-14,-18.05
193205,-16.45,-21.24,-20.43
193206,-2.3,2.38,-1
193207,50.66,38.37,33.32
193208,82.87,56.35,35.33
193209,-12.46,-5.84,-2.55
193210,-20.51,-19.84,-12.54
193211,-10.45,-8.61,-5.6
193212,-10.31,-2.85,5.06
193301,1.29,2.38,1.22
193302,-19.62,-17.2,-15.21
193303,13.41,10.33,2.74
193304,50.65,53.86,37.72
193305,83.87,46.11,18.81
193306,27.51,16.85,12.64
193307,-5.42,-11.41,-9.51
193308,5.36,13.85,12
193309,-17.27,-14.73,-10.14
193310,-12.62,-10.01,-8.02
193311,3.73,7.15,10.3
193312,2.59,2.45,1.73
193401,36.51,25.22,11.3
193402,5.44,-0.2,-2.75
193403,1.65,0.71,-0.05
193404,1.48,-2.43,-1.82
193405,-12.07,-10.05,-6.85
193406,-1.8,0.89,2.87
193407,-24.04,-17.8,-10.09
193408,12.79,8.43,5.19
193409,-2.83,-0.12,-0.09
193410,-1.63,-1.63,-1.63
193411,15.2,12.69,7.98
193412,3.13,2.31,0.14
193501,-4.14,-3.73,-3.39
193502,-7.24,-3.53,-1.75
193503,-11.59,-6.59,-3.23
